Task Name,Assignee,Start Date,Due Date,Description,Section/Column,Dependencies,Tags,Priority
リポジトリ作成・ブランチルール定義・CI雛形,E1,2025-10-14,2025-10-16,GitHub新規／branch-protection／PRテンプレ／Vercel接続。DoD: mainへPR必須・自動デプロイ成功。,M1 基盤セットアップ（Day 0–2）,,"LP,源",High
LP骨組みHTMLたたき台（セクション①〜⑬）,E2,2025-10-14,2025-10-16,各セクションにid付与。仮テキスト配置。DoD: Lighthouse Accessibility≧90。,M1 基盤セットアップ（Day 0–2）,リポジトリ作成・ブランチルール定義・CI雛形,"LP,源",High
計測設計ドキュメント（GA4イベント命名・KPI）,E3,2025-10-14,2025-10-16,"イベント: view_section, click_CTA, submit_order。KPI: CVR, CTR, 離脱率。",M1 基盤セットアップ（Day 0–2）,,"LP,源",High
LINE注文導線仕様書（URI/QR/遷移）,E4,2025-10-14,2025-10-16,CTA→LINE公式URL/LIFF仕様／Webhook要否判断。,M1 基盤セットアップ（Day 0–2）,,"LP,源",High
画像アセット収集・最適化方針（WebP・alt）,E5,2025-10-14,2025-10-16,必要画像リスト：①唐揚げ接写②配達③地図④LINE画面。最適化手順を定義。,M1 基盤セットアップ（Day 0–2）,,"LP,源",High
レスポンシブCSS設計（モバイル優先）,E2,2025-10-17,2025-10-19,Spacing: 40px/20px・コンポーネント化・Hover/Active。DoD: CLS<0.1。,M2 MVP完成（Day 3–5）,LP骨組みHTMLたたき台（セクション①〜⑬）,"LP,源",High
スクロール演出・CTA追従（JS）,E2,2025-10-17,2025-10-19,FadeIn/IntersectionObserver・追従CTA・スムーススクロール。,M2 MVP完成（Day 3–5）,レスポンシブCSS設計（モバイル優先）,"LP,源",High
GA4実装・イベント送信・DebugView検証,E3,2025-10-17,2025-10-19,gtag設置・イベント3種・一致率確認。DoD: DebugViewで発火確認動画添付。,M2 MVP完成（Day 3–5）,計測設計ドキュメント（GA4イベント命名・KPI）,"LP,源",High
SEO基本（title/meta/h1/構造化データ）,E3,2025-10-17,2025-10-19,JSON-LD: LocalBusiness/Organization。DoD: LCP<2.5s。,M2 MVP完成（Day 3–5）,,"LP,源",High
LINE導線・フォーム遷移テスト,E4,2025-10-17,2025-10-19,CTAリンク・QRコード表示・スマホ実機テスト。,M2 MVP完成（Day 3–5）,LINE注文導線仕様書（URI/QR/遷移）,"LP,源",High
OGP画像／SNSシェア文生成,E5,2025-10-17,2025-10-19,OGP 1200x630・altテキスト・短縮URL。,M2 MVP完成（Day 3–5）,画像アセット収集・最適化方針（WebP・alt）,"LP,源",High
パフォーマンス最適化（画像/コード/キャッシュ）,E1,2025-10-20,2025-10-21,WebP変換・LazyLoad・minify・Vercel設定。DoD: Lighthouse Perf≧90。,M3 ローンチ（Day 6–7）,レスポンシブCSS設計（モバイル優先）;スクロール演出・CTA追従（JS）,"LP,源",High
品質ゲート（E2/E3/E4/E5横断）,E1,2025-10-20,2025-10-21,アクセシビリティ/SEO/計測/導線/OGPの総合レビュー＆修正完了。,M3 ローンチ（Day 6–7）,パフォーマンス最適化（画像/コード/キャッシュ）,"LP,源",High
正式デプロイ＆動作確認手順書,E1,2025-10-20,2025-10-21,Releaseタグ付け・チェクリスト・ロールバック手順。,M3 ローンチ（Day 6–7）,品質ゲート（E2/E3/E4/E5横断）,"LP,源",High
A/Bテスト基盤（CTA文言・キービジュアル）,E3,2025-10-22,2025-10-28,GTM or 自作スプリット・計測定義・結果レポひな形。,M4 PDCA＆拡張（Week 2）,GA4実装・イベント送信・DebugView検証,"LP,源",High
ヒートマップ導入（Hotjar/Clarity）,E3,2025-10-22,2025-10-28,離脱セクション特定・改善仮説ノート。,M4 PDCA＆拡張（Week 2）,,"LP,源",High
口コミセクション自動更新（週次）,E5,2025-10-22,2025-10-28,最新レビュー差し替え・今週の声。DoD: 週1更新の運用手順書。,M4 PDCA＆拡張（Week 2）,,"LP,源",High
LINE計測連携（遷移数・CV・友だち追加）,E4,2025-10-22,2025-10-28,LIFF or 計測パラメータ整備・計測表。,M4 PDCA＆拡張（Week 2）,,"LP,源",High
拡張：限定性ロジック（残数表示/売切）,E2,2025-10-22,2025-10-28,在庫カウンタUI（擬似でも可）・心理的希少性を演出。,M4 PDCA＆拡張（Week 2）,,"LP,源",High
